파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,태도변화여부,감정변화상세(Arousal),최종판정
통화 녹음 010-5602-0630_260506_213150.m4a,정상대화,15.1,~20s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 01052198329_260515_100603.m4a,정상대화,12.1,~20s,0.49,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
통화 녹음 010-5602-0630_260512_214039.m4a,정상대화,110.8,1m20s~,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 01094183780_260504_153831.m4a,정상대화,221.0,1m20s~,4.8,71.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.42),보이스피싱
통화 녹음 이모_260425_204455.m4a,정상대화,59.8,40s~60s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 010-5602-0630_260515_115610.m4a,정상대화,166.5,1m20s~,0.79,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
통화 녹음 010-5602-0630_260516_084106.m4a,정상대화,20.2,20s~40s,1.61,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),정상
통화 녹음 ㅈㅍ_260501_214116.m4a,정상대화,7.8,~20s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 010-5602-0630_260504_120040.m4a,정상대화,69.1,1m~1m20s,0.11,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
통화 녹음 ㅈㅍ_260502_182654.m4a,정상대화,25.8,20s~40s,1.1,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.39),정상
통화 녹음 010-5602-0630_260514_155333.m4a,정상대화,40.8,40s~60s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.39),정상
통화 녹음 010-5602-0630_260506_214441.m4a,정상대화,16.5,~20s,0.37,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),정상
통화 녹음 ㅈㅍ_260514_222159.m4a,정상대화,24.7,20s~40s,2.26,60.1%,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 ㅈㅍ_260503_160742.m4a,정상대화,9.7,~20s,0.18,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 010-5602-0630_260514_213755.m4a,정상대화,34.0,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
