파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,태도변화여부,감정변화상세(Arousal),최종판정
3차-(2).6차례 신고된 남성 전화금융사기범 음성-1.m4a,보이스피싱,41.7,40s~60s,2.89,67.0%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
5차례 신고된 남성 전화금융사기범 음성 5-1.m4a,보이스피싱,91.3,1m20s~,4.82,91.6%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-5.m4a,보이스피싱,66.9,1m~1m20s,0.55,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),정상
5차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,69.3,1m~1m20s,5.0,62.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,53.2,40s~60s,3.17,54.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
5차례 신고된 남성 전화금융사기범 음성 5-2.m4a,보이스피싱,17.9,~20s,0.22,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
5차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,96.1,1m20s~,5.0,59.6%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,44.3,40s~60s,4.95,47.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-3.m4a,보이스피싱,67.6,1m~1m20s,5.0,82.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,38.5,20s~40s,2.49,76.9%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
3차-(1).16차례 신고된 남성 전화금융사기범 음성-10.m4a,보이스피싱,26.4,20s~40s,0.58,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.37),정상
5차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,94.3,1m20s~,5.0,72.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-8.m4a,보이스피싱,33.6,20s~40s,2.33,59.9%,N,변화 없음 (안정적 상태 유지),정상
5차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,115.7,1m20s~,5.0,65.1%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-9.m4a,보이스피싱,56.5,40s~60s,1.49,N/A,N,변화 없음 (안정적 상태 유지),정상
5차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,115.5,1m20s~,4.71,54.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-6.m4a,보이스피싱,68.8,1m~1m20s,5.0,54.0%,N,변화 없음 (안정적 상태 유지),보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-4.m4a,보이스피싱,45.9,40s~60s,4.02,65.4%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,76.7,1m~1m20s,0.9,N/A,N,변화 없음 (안정적 상태 유지),정상
금감원_보이스피싱_7_수정08-1.m4a,보이스피싱,388.1,1m20s~,3.67,72.9%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.37),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,49.8,40s~60s,5.0,52.0%,N,변화 없음 (안정적 상태 유지),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,75.1,1m~1m20s,5.0,47.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.42),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,70.7,1m~1m20s,4.58,64.9%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-5.m4a,보이스피싱,30.5,20s~40s,2.64,70.8%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.36),정상
5번수정-4.m4a,보이스피싱,23.8,20s~40s,1.4,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),정상
5차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,110.5,1m20s~,5.0,63.3%,N,변화 없음 (안정적 상태 유지),보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-3.m4a,보이스피싱,42.5,40s~60s,2.87,63.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
14번수정-3.m4a,보이스피싱,42.1,40s~60s,3.38,56.0%,N,변화 없음 (안정적 상태 유지),정상
5차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,43.6,40s~60s,2.65,48.9%,N,변화 없음 (안정적 상태 유지),정상
5차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,59.1,40s~60s,5.0,45.8%,N,변화 없음 (안정적 상태 유지),보이스피싱
14번수정-2.m4a,보이스피싱,47.8,40s~60s,5.0,59.6%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),보이스피싱
금감원_보이스피싱_11_수정07-1.m4a,보이스피싱,206.8,1m20s~,4.25,68.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-2.m4a,보이스피싱,38.5,20s~40s,5.0,65.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),보이스피싱
금감원_보이스피싱_8_수정06-1.m4a,보이스피싱,62.0,1m~1m20s,4.37,71.1%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-5.m4a,보이스피싱,71.5,1m~1m20s,5.0,49.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,89.2,1m20s~,5.0,60.6%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),보이스피싱
금감원_보이스피싱_5_수정07-1.m4a,보이스피싱,173.4,1m20s~,4.49,85.3%,N,변화 없음 (안정적 상태 유지),보이스피싱
