파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,태도변화여부,감정변화상세(Arousal),최종판정
KsponSpeech_008684.pcm,정상대화,20.5,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
KsponSpeech_008889.pcm,정상대화,16.9,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.38),정상
KsponSpeech_008320.pcm,정상대화,24.1,20s~40s,0.08,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008442.pcm,정상대화,20.4,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_008324.pcm,정상대화,23.6,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),정상
KsponSpeech_008279.pcm,정상대화,20.9,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.37),정상
KsponSpeech_082381.pcm,정상대화,29.9,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008858.pcm,정상대화,19.5,~20s,0.3,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),정상
KsponSpeech_008086.pcm,정상대화,16.8,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
KsponSpeech_008521.pcm,정상대화,17.6,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_095706.pcm,정상대화,27.7,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),정상
KsponSpeech_008745.pcm,정상대화,16.9,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
KsponSpeech_E04745.pcm,정상대화,20.1,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008142.pcm,정상대화,28.5,20s~40s,0.25,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
KsponSpeech_008544.pcm,정상대화,18.3,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_095704.pcm,정상대화,28.2,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
KsponSpeech_082522.pcm,정상대화,28.7,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008196.pcm,정상대화,17.5,~20s,0.14,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),정상
KsponSpeech_082678.pcm,정상대화,30.7,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_095304.pcm,정상대화,25.5,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_008150.pcm,정상대화,19.9,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),정상
KsponSpeech_008557.pcm,정상대화,25.5,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008621.pcm,정상대화,25.8,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),정상
KsponSpeech_008806.pcm,정상대화,16.4,~20s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_095257.pcm,정상대화,30.1,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008599.pcm,정상대화,18.5,~20s,0.13,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_095445.pcm,정상대화,25.1,20s~40s,0.26,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
KsponSpeech_008361.pcm,정상대화,21.9,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.42),정상
KsponSpeech_008834.pcm,정상대화,19.3,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_008571.pcm,정상대화,17.8,~20s,0.01,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),정상
KsponSpeech_095335.pcm,정상대화,30.6,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_095651.pcm,정상대화,28.3,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
KsponSpeech_008993.pcm,정상대화,19.6,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008429.pcm,정상대화,18.5,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),정상
KsponSpeech_008367.pcm,정상대화,27.0,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
KsponSpeech_008832.pcm,정상대화,24.6,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
KsponSpeech_008601.pcm,정상대화,16.5,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
KsponSpeech_082129.pcm,정상대화,30.2,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
KsponSpeech_095680.pcm,정상대화,28.2,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_095723.pcm,정상대화,25.1,20s~40s,0.08,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008370.pcm,정상대화,18.1,~20s,0.07,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),정상
KsponSpeech_008934.pcm,정상대화,24.6,20s~40s,0.78,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008288.pcm,정상대화,17.7,~20s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008060.pcm,정상대화,17.3,~20s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008841.pcm,정상대화,20.2,20s~40s,0.19,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008464.pcm,정상대화,30.3,20s~40s,0.16,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_008880.pcm,정상대화,20.4,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),정상
KsponSpeech_008512.pcm,정상대화,25.5,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_082955.pcm,정상대화,28.5,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008339.pcm,정상대화,25.8,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_008852.pcm,정상대화,17.5,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_095756.pcm,정상대화,26.7,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_082174.pcm,정상대화,29.7,20s~40s,1.22,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
KsponSpeech_008489.pcm,정상대화,23.2,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
KsponSpeech_008501.pcm,정상대화,20.3,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.42),정상
