파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,태도변화여부,감정변화상세(Arousal),최종판정
통화 녹음 010-5602-0630_260506_213150.m4a,정상대화,15.1,~20s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
1_8592G2A1_8591G1A1_T1_1D08T0353C000016_038345.wav,정상대화,73.7,1m~1m20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
1_8871G1A1_8870G1A1_T1_1D06T0227C000015_039609.wav,정상대화,71.7,1m~1m20s,0.26,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
1_8509G2A1_8508G2A1_T1_1D05T0170C000032_038024.wav,정상대화,110.6,1m20s~,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
1_9065G2A1_9064G1A1_T1_1D10T0411C000004_047554.wav,정상대화,14.3,~20s,0.41,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
KsponSpeech_008684.pcm,정상대화,20.5,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
1_8505G2A1_8504G2A1_T1_1D01T0024C000018_038172.wav,정상대화,86.0,1m20s~,0.87,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008889.pcm,정상대화,16.9,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.38),정상
1_8505G2A1_8504G2A1_T1_1D06T0233C000007_037988.wav,정상대화,22.5,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
1_8505G2A1_8504G2A1_T1_1D06T0244C000038_037993.wav,정상대화,127.0,1m20s~,0.78,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
통화 녹음 01052198329_260515_100603.m4a,정상대화,12.1,~20s,0.49,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
1_8636G1A1_8637G1A1_T1_1D02T0084C000013_038566.wav,정상대화,98.3,1m20s~,1.07,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),정상
1_8486G2A1_8489G2A1_T1_1D07T0315C000063_037932.wav,정상대화,124.9,1m20s~,1.92,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
KsponSpeech_008320.pcm,정상대화,24.1,20s~40s,0.08,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
1_8051G1A1_8109G1A1_T1_1D06T0233C000020_036971.wav,정상대화,51.2,40s~60s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008442.pcm,정상대화,20.4,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
KsponSpeech_008324.pcm,정상대화,23.6,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),정상
1_8471G2A1_8470G2A1_T1_1D03T0099C000017_038628.wav,정상대화,61.4,1m~1m20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
1_8769G2A1_8770G2A1_T1_1D01T0003C000020_043642.wav,정상대화,55.3,40s~60s,0.14,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008279.pcm,정상대화,20.9,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.37),정상
KsponSpeech_082381.pcm,정상대화,29.9,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
1_8352G2A1_8353G2A1_T1_1D02T0093C000011_037364.wav,정상대화,14.3,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
통화 녹음 010-5602-0630_260512_214039.m4a,정상대화,110.8,1m20s~,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008858.pcm,정상대화,19.5,~20s,0.3,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),정상
1_8684G1A1_8683G1A1_T1_1D02T0072C000011_038796.wav,정상대화,63.5,1m~1m20s,0.83,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
KsponSpeech_008086.pcm,정상대화,16.8,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
1_8670G2A1_8668G2A1_T1_1D03T0099C000024_039070.wav,정상대화,77.8,1m~1m20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
통화 녹음 01094183780_260504_153831.m4a,정상대화,221.0,1m20s~,4.8,71.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.42),보이스피싱
KsponSpeech_008521.pcm,정상대화,17.6,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),정상
1_8129G2A1_8130G2A1_T1_1D05T0176C000031_036456.wav,정상대화,100.4,1m20s~,0.27,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 이모_260425_204455.m4a,정상대화,59.8,40s~60s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
1_8684G1A1_8683G1A1_T1_1D02T0055C000021_043300.wav,정상대화,84.0,1m20s~,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
1_8494G2A1_8495G2A1_T1_1D05T0187C000002_050963.wav,정상대화,10.2,~20s,0.23,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
1_8720G2A1_8746G2A1_T1_1D08T0336C000027_039226.wav,정상대화,49.2,40s~60s,0.28,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
1_8582G2A1_8581G2A1_T1_1D07T0297C000017_038255.wav,정상대화,38.9,20s~40s,0.22,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_095706.pcm,정상대화,27.7,20s~40s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),정상
KsponSpeech_008745.pcm,정상대화,16.9,~20s,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
KsponSpeech_E04745.pcm,정상대화,20.1,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
KsponSpeech_008142.pcm,정상대화,28.5,20s~40s,0.25,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
1_8262G1A1_8264G2A1_T1_1D09T0390C000003_037030.wav,정상대화,28.7,20s~40s,0.0,N/A,N,변화 없음 (안정적 상태 유지),정상
통화 녹음 010-5602-0630_260515_115610.m4a,정상대화,166.5,1m20s~,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
1_8315G1A1_8314G1A1_T1_1D05T0176C000004_037269.wav,정상대화,22.5,20s~40s,0.81,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),정상
